name,Date of birth,Children,Country,Knows how to program
Jordan Tatershall,8/3/1989,3,United States,true 
Morse Comberbach,2/2/1971,4,Russia,true
Janette Scafe,9/11/1980,5,Nigeria,true
Nertie Miquelet,12/22/1994,5,Greece,true
Urban Whitecross,5/1/1987,3,Hungary,false   



1name,Date of birth,Children,Country,Knows how to program
2Jordan Tatershall,8/3/1989,3,Iceland ,true 
3Morse Comberbach,2/2/1971,4,Korea,true
4Janette Scafe,9/11/1980,5,Spain,true
5Nertie Miquelet,12/22/1994,5,Greece,true
6Urban Whitecross,5/1/1987,3,Hungary,false   



